Project_ID,Project_Title,Total_Cost_KES,Funding_Type,Funding_Source,Start_Date_Planned,Start_Date_Actual,Duration_Months,Vision_2030_Flagship,MTEF_Sector,Implementing_Agency,Implementation_Status
2010/051529,Construction Of Turkana South District Headquarters,35000000.0,gok; unspecified,government of kenya,2009-05-28,2009-05-28,37.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051540,Construction Of Samburu East District Headquarters,25000000.0,gok; unspecified,government of kenya,2009-02-07,2009-02-07,40.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051541,Construction Of Samburu North District Headquarters,25000000.0,gok; unspecified,government of kenya,2009-05-28,2009-05-28,37.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051542,Construction Of Kwanza District Headquarters,6000000.0,gok; unspecified,government of kenya,2009-12-18,2009-12-18,30.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051544,Construction Of Laikipia North District Headquarters,95000000.0,gok; unspecified,government of kenya,2009-04-21,2009-04-21,38.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051545,Construction Of Nakuru North District Headquarters,48000000.0,gok; unspecified,government of kenya,2009-01-03,2009-01-03,41.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051547,Construction Of Kajiado North District Headquarters,31850000.0,gok; unspecified,government of kenya,2009-07-09,2009-08-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051548,Construction Of Kakamega North District Headquarters,13000000.0,gok; unspecified,government of kenya,2009-02-02,2009-02-02,40.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051550,Construction Of Emuhaya District Headquarters,35000000.0,gok; unspecified,government of kenya,2009-02-02,2009-02-02,40.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/051780,Supply.Installation And Commissing Of Geneartors At Gandhi Wing (Central Administration) University Health Services.,20106668.0,gok; unspecified,106 - moes&t - university of nairobi,2009-08-19,2009-09-02,5.0,unspecified,unspecified,106 - moes&t - university of nairobi,Planned
2010/051786,Proposed1 No. Lecture Theatre And 3 No. Science Laboratory At Kenya Science Campus,239464775.0,gok; unspecified,106 - moes&t - university of nairobi; government of kenya,2008-12-03,2008-12-03,19.0,unspecified,education,106 - moes&t - university of nairobi,Ongoing
2010/051859,Tuition Block,46000000.0,gok; unspecified,government of kenya,2010-01-02,2010-01-02,28.0,unspecified,unspecified,mohest - kaiboi technical training institute,Ongoing
2010/051993,Dungicha- Mihirini Jila Water Project,25317420.0,unspecified,unspecified,2007-07-01,2007-07-01,35.0,unspecified,unspecified,110 - ministry of environment water and natural resources,Completed
2010/051995,Kaembeni - Mwahera Water Project,1453225660.0,unspecified,unspecified,2007-07-01,2007-07-01,47.0,unspecified,unspecified,110 - ministry of environment water and natural resources,Ongoing
2010/051998,Kaembeni - Kaputuku Pipeline Project,27120000.0,unspecified,unspecified,2007-07-01,2008-07-01,35.0,unspecified,unspecified,110 - ministry of environment water and natural resources,Ongoing
2010/052000,Mwele - Simakeni Water Project,23300000.0,unspecified,unspecified,2009-07-01,2009-07-01,23.0,unspecified,unspecified,110 - ministry of environment water and natural resources,Ongoing
2010/052141,Construction Of Tana Delta District Headquarters,6400000.0,gok; unspecified,government of kenya,2009-03-23,2009-03-23,39.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052145,Construction Of Kakamega East District Headquarters,4000000.0,gok; unspecified,government of kenya,2008-11-10,2009-07-01,43.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052147,Construction Of Lugari District Headquarters,125000000.0,gok; unspecified,government of kenya,2009-04-24,2010-07-01,38.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052149,Construction Of Samia District Headquarters,10000000.0,gok; unspecified,government of kenya,2009-01-04,2009-01-04,41.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052160,Construction Of Kirinyaga South District Headquarters,17829000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-10,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052161,Construction Of Mukurweini District Headquarters,45000000.0,gok; unspecified,government of kenya,2009-07-01,2010-08-09,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052164,Construction Of Gatundu District Headquarters,9200000.0,gok; unspecified,government of kenya,2009-07-01,2010-07-30,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052166,Construction Of Kitui West District Headquarters,7000000.0,gok; unspecified,government of kenya,2009-07-01,2009-10-30,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052167,Construction Of Mwingi East District Headquarters,7850000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052170,Construction Of Nyando District Headquarters,5720000.0,gok; unspecified,government of kenya,2010-07-01,2010-08-02,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Planned
2010/052171,Construction Of Marakwet East District Headquarters,8300000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052174,Construction Of Marakwet West District Headquarters,6500000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052177,Construction Of Transmara West District Headquarters,6000000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052179,Construction Of Turkana East District Headquarters,5000000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052189,Proposed Construction Of 24 No. Housing Flats At Mwingi Police Station,76853550.0,gok; unspecified,government of kenya,2009-01-13,2009-01-13,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052196,Proposed Construction Of Administration Block At Kisumu Kondele Police Station,52161692.0,gok; unspecified,government of kenya,2010-01-04,2010-01-04,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052199,Proposed Construction Of An Administration Block At Rachuonyo Oyugis Police Station,54328362.0,gok; unspecified,government of kenya,2010-01-04,2010-01-04,9.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052205,Proposed Construction Of Administration Block And 24 Flats At Nandi North Kaimosi Police Station,175101269.0,gok; unspecified,government of kenya,2010-02-01,2010-02-01,17.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052212,Proposed Roofing And Re-Furbishment Of 54 No. Block Type E Flats At Kapu Police Line Embakasi,152399814.0,gok; unspecified,government of kenya,2009-03-03,2009-03-03,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052215,Proposed Renovations And Additional Works To The Presidential Escort Camp Nairobi,41207605.0,gok; unspecified,government of kenya,2009-03-03,2009-03-03,7.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2010/052254,Establishment Of A Forensic Laboratory,1420000000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052259,Establishment Of A National Security Data Centre,603000000.0,unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052308,Construction Of Mt. Kenya School Of Adventure And Leadership(Kesal) Offices,5600000.0,gok; unspecified,government of kenya,2010-09-01,2010-09-01,21.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Planned
2010/052325,Refurbishment Of Department Of Information &Nbsp;And Pc Headquaters,3600000.0,gok,government of kenya,2010-08-02,2010-08-02,9.0,unspecified,unspecified,moic - department of information (di),Unspecified
2010/052337,"Refurbishment Of Buildings, Rehabilitation And Renovation Of Plant, Machinery And Equipment At Government Press",223015000.0,gok; unspecified,government of kenya,2010-07-01,2010-08-09,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2010/052351,Construction Of Post Modern Library,900000000.0,unspecified,unknown,2008-02-01,2008-02-01,26.0,unspecified,unspecified,106 - ministry of education; 106 - moes&t - kenyatta university (ku),Ongoing
2010/052369,Construction Of School Of Engineeering Block,150000000.0,unspecified,unknown,2008-11-01,2008-11-01,22.0,unspecified,unspecified,106 - ministry of education; 106 - moes&t - kenyatta university (ku),Completed
2010/052370,Construction Of Amphitheatre,70000000.0,unspecified,unknown,2009-09-01,2009-09-01,15.0,unspecified,unspecified,106 - moes&t - kenyatta university (ku),Ongoing
2010/052649,Procurement Of Meters And Fittings For The Wsps.,60000000.0,unspecified,501 - international development association (ida),2010-10-20,2010-10-20,0.0,unspecified,unspecified,unspecified,Planned
2010/052650,Office Equipment-Computers And Printers And Other Accessories For Cwsb And 6 Wsps.,16800000.0,unspecified,501 - international development association (ida),2009-04-27,2009-04-27,1.0,unspecified,unspecified,161 - mowi - coast water services board,Completed
2010/052653,Section Valves For Network Sectorization For Wsps (30no.),12560560.0,unspecified,501 - international development association (ida),2010-07-19,2010-07-19,4.0,unspecified,unspecified,161 - mowi - coast water services board,Ongoing
2010/052657,"Communication Equipment(Repeaters,Portable Radios Etc)",12000000.0,unspecified,501 - international development association (ida),2010-08-31,2010-08-31,0.0,unspecified,unspecified,161 - mowi - coast water services board,Planned
2010/54082,Nmk - Headquarter'S Perimeter Wall,16194846.0,unspecified,government of kenya,2010-04-26,2010-04-26,6.0,unspecified,unspecified,1131 - ministry of sports culture and arts,Unspecified
2010/54084,Nmk - Jaramogi Oginga Odinga Memorial Museum Renovation,10118250.0,unspecified,government of kenya,2010-01-06,2010-01-06,10.0,unspecified,unspecified,1131 - ministry of sports culture and arts,Completed
2011/052775,Completion Of Works Of Trans Nzoia District Headquarters - Kitale,123098595.0,unspecified,government of kenya,2006-03-01,2006-03-01,18.0,unspecified,unspecified,1111 - ministry of land housing and urban development,Ongoing
2011/052839,Office Automation,8000000.0,gok; unspecified,government of kenya,2010-09-06,2010-09-06,21.0,unspecified,unspecified,129 - mrda - ewaso ngiro south dev. authority (ensda),Ongoing
2011/052873,Drought And Flood Disater Mitigation And Risk Reduction Project,500000001.0,gok,government of kenya,2010-07-01,2010-07-01,23.0,unspecified,unspecified,128 - mrda - ewaso ngiro north dev. authority (ennda),Planned
2011/052875,Regional Data And Information Centre,553000000.0,gok,government of kenya,2010-07-01,2010-07-01,35.0,unspecified,unspecified,128 - mrda - ewaso ngiro north dev. authority (ennda),Ongoing
2011/052877,Construction And Rehabilitation Of Water Points,40200000.0,gok,government of kenya,2010-07-01,2010-07-01,35.0,unspecified,unspecified,128 - mrda - ewaso ngiro north dev. authority (ennda),Ongoing
2011/052892,Ewaso Ng'Iro North River Catchment Conservation And Rehabilitation Project,19085641.0,gok; unspecified,government of kenya,2010-07-01,2010-07-01,47.0,unspecified,unspecified,128 - mrda - ewaso ngiro north dev. authority (ennda),Ongoing
2011/052916,Construction Of 2 &Nbsp;Boarder Police Stations And Patrol Bases,400000000.0,gok; unspecified,government of kenya,2010-07-01,2010-07-01,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/052918,Construction Of Offices And Laboratory For School Of Hospitality And Tourism Management,60000000.0,unspecified,government of kenya,2010-12-01,2010-12-01,15.0,unspecified,unspecified,106 - ministry of education; 106 - moes&t - kenyatta university (ku),Ongoing
2011/052921,Extension Of The Dining Hall At The North Coast Beach Hotel,30000000.0,unspecified,government of kenya,2010-09-01,2010-09-01,3.0,unspecified,unspecified,106 - ministry of education; 106 - moes&t - kenyatta university (ku),Ongoing
2011/052956,Kangema Distric Headquarters,30000000.0,gok; unspecified,government of kenya,2010-07-01,2010-07-30,24.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/052957,Construction Of New Offices At Ruiru District Headquarters,6000000.0,gok; unspecified,government of kenya,2011-07-01,2011-07-01,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Planned
2011/052958,Construction Of Mathira East District Headquarters,30000000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,36.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/052959,Construction Of New Offices At Mathioya District,30000000.0,gok; unspecified,government of kenya,2010-07-01,2010-07-01,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/052960,Construction Of Nyeri South (Othaya) District Headquarters.,60000000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/052962,Construction Of Nyandarua North District Headquarters.,35000000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/052969,Erection &Nbsp;And Completion Of Office Block For Ovp And Moha (Mombasa),273513640.0,gok; unspecified,government of kenya,2008-09-01,2008-09-22,39.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/052983,Construction Of District Registrar'S Office,1680000.0,gok,government of kenya,2010-09-01,2010-09-15,9.0,unspecified,"governance, justice, law and order (gjlos); unallocated",102 - ministry of interior and coordination of national government,Completed
2011/053032,Thika Prison,4250000.0,gok; unspecified,government of kenya,2008-07-01,2008-08-01,34.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053034,Construction Of Prisoners Ward In Maranjau Prison,375000.0,gok; unspecified,government of kenya,2008-07-01,2008-08-01,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053038,Hqrs: Installation Of Steel Water Tank At The Ministry Hqrs.- Jogoo A,3897000.0,unspecified,government of kenya,2008-07-01,2008-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053044,Hqrs: Refurbishment Of &Nbsp;Vpps Press Unit Jogoo A,1900000.0,unspecified,government of kenya,2010-07-01,2010-07-01,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2011/053047,Maranjau Prison,954750.0,gok; unspecified,government of kenya,2008-07-01,2008-08-01,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2011/053049,Construction Of A Septic Tank In Maranjau Prison,100000.0,gok; unspecified,government of kenya,2008-07-01,2008-08-01,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Terminated
2011/053053,Probation: Construction Of Office/Non-Residential Buildings; Refurbishment Of Non-Residential Buildings In Kisii Central,1000000.0,unspecified,government of kenya,2009-07-01,2009-07-01,23.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Ongoing
2011/053056,Probation: Construction Of Office/Non-Residential Buildings; &Nbsp;Other Infrastructure And Civil Works; Acquisition Of Land In Masaba`- Nyamira,4200000.0,unspecified,government of kenya,2009-07-01,2009-07-01,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053057,Construction Of 2 Prisoners Ward In Yatta Prison,10800000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053061,Probation: Refurbishment Of Non-Residential Buildings In Kisumu East,4575000.0,unspecified,government of kenya,2008-07-01,2008-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053062,Probation: Construction Of Office/Non-Residential And Residential Buildings; Water Supplies And Sewerage; Other Infrastructure And Civil Works In Siaya Girls,8300000.0,unspecified,government of kenya,2009-07-01,2009-07-01,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053064,Construction Of &Nbsp;A Trainee Waiting Bay,5000000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Terminated
2011/053065,Completion Of Prisoners Ward In (Shimo Annex Prison),3350000.0,gok; unspecified,government of kenya,2008-07-01,2008-07-01,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053066,Pstc- Dispensary,750000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2011/053071,Pstc- Generators And Washing Machines,5000000.0,gok,government of kenya,2009-07-01,2009-08-03,10.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2011/053073,Refurbishment Of &Nbsp;Non-Residential Buildings In Nyando - &Nbsp;Probation,2250000.0,unspecified,government of kenya,2008-07-01,2008-07-01,35.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2011/053075,Construction Of An Executive Wing At The Pstc,23500000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053083,Refurbishment &Nbsp;Of The Staff Houses In Ruiru Prison,2000000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-31,11.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Terminated
2011/053084,Rri Housing Project For Staff (Shimo Annex Prison),2200000.0,gok; unspecified,government of kenya,2008-07-01,2008-07-01,23.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053087,Ruiru Prison- Social Center,4000000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053088,Construction Of A Perimeter Wall In Ruiru Prison,1620000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053095,Nyahururu Prison - Fencing,1600000.0,gok,government of kenya,2009-07-01,2009-08-03,9.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2011/053096,Construction Of A Septic Tank At The Nyahururu Prison,1500000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Terminated
2011/053103,Kamiti Main Prison- Dog Kennel,800000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2011/053106,Kamiti Main Prison Remand Block,5000000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Terminated
2011/053112,Construction Of Yctc Staff Houses,2700000.0,gok,government of kenya,2009-07-01,2009-07-31,10.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Terminated
2011/053119,Yctc - Multi- Purpose Hall,3700000.0,gok; unspecified,government of kenya,2009-07-01,2009-08-03,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053120,Office Block And Inner Gate - Nyeri Main Prison,3375000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-31,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053123,Construction Of Prisoners Ward In Nyeri Medium Prison,4500000.0,gok; unspecified,government of kenya,2009-07-01,2009-07-31,22.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Ongoing
2011/053253,Conference Facility-Gti Matuga,70000000.0,unspecified,government of kenya,2008-05-01,2008-05-01,34.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Ongoing
2011/053254,Construction Of Proposed Kigumo District Headquarters,15000000.0,unspecified,government of kenya,2011-01-20,2011-01-20,8.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Ongoing
2011/053268,Completion Of The Proposed Tigania West District,30000000.0,gok; unspecified,government of kenya,2011-02-15,2011-02-15,8.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Unspecified
2012/053323,Assistance To Micro And Small Enterprises (Amse),666666667.0,unspecified,505 - european development fund,2007-10-26,2007-10-26,59.0,unspecified,unspecified,118 - ministry of commerce tourism and east african affairs,Unspecified
2012/053337,Maralal District Hospital,21600000.0,unspecified,government of kenya,2011-07-13,2011-07-13,10.0,unspecified,unspecified,103 - ministry of devolution and planning,Ongoing
2012/053691,Transmara West District - Agricultural Productivity & Climate Change In Asals,4000000.0,unspecified,government of kenya,2011-07-01,2011-07-01,35.0,unspecified,unspecified,116 - moal&f - kenya agricultural research institute (kari),Unspecified
2012/053974,South West Indian Ocean Fisheries Project (SWIOFP),300000000.0,grant; unspecified,501 - international development association (ida),2007-10-09,2007-10-09,65.0,unspecified,unspecified,116 - moal&f - kenya marine & fisheries research institute,Ongoing
2011/053141,West Park Housing,1371664443.0,unspecified,government of kenya,2009-09-05,2009-09-05,25.0,ministry of interior and coordination of national government,unspecified,1111 - ministry of land housing and urban development,Ongoing
2011/053144,Proposed Perimeter Fencing For Nairobi Mopw Sports Club - South C,21368875.0,unspecified,government of kenya,2011-06-01,2011-06-01,7.0,unspecified,unspecified,1111 - ministry of land housing and urban development,Ongoing
2012/053631,Njumbi Divisional Headquater,7186625.0,gok; unspecified,constituency development fund (cdf),2012-06-01,2012-06-01,6.0,unspecified,unspecified,102 - ministry of interior and coordination of national government,Ongoing
2012/053883,Nyahururu- Maralal Trasmission Line,1770000000.0,unspecified,025 - government of china; government of kenya,2015-01-05,2015-01-05,24.0,unspecified,"energy, infrastructure and ict",115 - moe&p - kenya electricity transmission company limited (ketraco),Ongoing
2013/054115,Renovation,61000000.0,unspecified,government of kenya,2012-08-01,2012-08-01,10.0,unspecified,unallocated; education,106 - ministry of education; 102 - moic - kenya college of communications technology,Ongoing
2010/052183,Community Development Enviroment Management Programme (CDEMP-CEF),174706865.0,grant; unspecified,505 - european development fund,2010-07-01,2010-07-01,72.0,unspecified,public administration and international relations (pair),103 - ministry of devolution and planning; 1031 - state department for planning,Ongoing
2011/053033,Hqrs.: Erection And Completion Of Office Block For Ovp&Moha In Mombasa,273513640.0,gok; unspecified,government of kenya,2008-06-19,2008-06-19,57.0,unspecified,"governance, justice, law and order (gjlos)",102 - ministry of interior and coordination of national government,Completed
2012/053319,Improving Access To Water Supply And Basic Sanitation For The Urban Poor ( Support To Water Services Trust Fund),0.0,grant; unspecified,505 - european development fund; government of kenya,2008-05-19,2008-05-19,79.0,unspecified,"environmental protection, water and natural resources","110 - ministry of environment water and natural resources; 174 - mowi - water services trust fund, kenya; 1102 - state department for water and regional authorities.",Ongoing
